Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Toll-like receptor signaling pathway	1/104	0.5116403887089291	0.5406509262130437	0	0	1.4106225014277556	0.9453050647082822	AKT1
Th17 cell differentiation	1/107	0.5216598069580667	0.5484115919302752	0	0	1.3704911209766926	0.8918328635531109	JAK1
Leukocyte transendothelial migration	1/114	0.5442518726297053	0.5692430300463754	0	0	1.2851379489849037	0.7818048528033618	ITGAM
Lysosome	1/128	0.5863065295986527	0.6101159318158568	0	0	1.142658638258453	0.6100797737523781	AP1S1
Vascular smooth muscle contraction	1/133	0.6003728767370318	0.6215981804600581	0	0	1.0990975935828877	0.5607643794366315	PRKACA
Non-alcoholic fatty liver disease	1/155	0.6568329687783446	0.6766369778872394	0	0	0.941033231474408	0.39554028803529034	AKT1
Ribosome	1/158	0.6638915059734889	0.6804887936228261	0	0	0.9229112026976396	0.37805814946930083	RPL22
Pathogenic Escherichia coli infection	1/197	0.7435422018236405	0.7583390615614243	0	0	0.7378076230492197	0.21863435119083957	MYO1A
Diabetic cardiomyopathy	1/203	0.7540062867300713	0.7652043998993298	0	0	0.7156741409435061	0.20207386659537507	AKT1
Calcium signaling pathway	1/240	0.8097889682292454	0.8177671846650015	0	0	0.6037410780211666	0.12737825760666918	PRKACA
Salmonella infection	1/249	0.8213361913961881	0.8253623491971498	0	0	0.5815642789373814	0.11446508836967113	AKT1
Olfactory transduction	1/440	0.9530248954147741	0.9530248954147741	0	0	0.32533833578989685	0.01565341082431857	PRKACA
